38928,40
1,54,648,26,2465,64,640
2,47,564,2,4928,56,112
3,89,1068,19,1828,106,212
4,54,648,40,2908,64,128
5,55,660,18,972,66,132
6,42,504,34,2120,50,500
7,90,1080,38,2044,108,1080
8,47,564,11,764,56,112
9,76,912,33,1645,91,182
10,92,1104,22,2853,110,220
11,58,696,30,4848,69,138
12,47,564,9,4279,56,560
13,94,1128,26,2448,112,1120
14,98,1176,30,211,117,1170
15,62,744,2,1427,74,148
16,49,588,3,2772,58,580
17,89,1068,32,1095,106,1060
18,88,1056,10,3918,105,1050
19,78,936,12,3976,93,186
20,99,1188,32,1418,118,1180
21,61,732,26,3810,73,730
22,67,804,14,605,80,800
23,91,1092,35,3948,109,1090
24,75,900,14,868,90,180
25,64,768,32,3528,76,152
26,52,624,4,2331,62,124
27,40,480,37,3514,48,480
28,53,636,40,4508,63,630
29,73,876,35,2501,87,870
30,66,792,32,1556,79,790
31,40,480,4,2062,48,480
32,72,864,32,2708,86,860
33,83,996,9,3051,99,990
34,40,480,31,2351,48,96
35,84,1008,15,3906,100,1000
36,51,612,34,1101,61,610
37,56,672,14,74,67,134
38,97,1164,36,4089,116,1160
39,64,768,32,3520,76,760
40,54,648,36,1836,64,640
